INFO:root:[Epoch 4/160][Iter 130/517][lr 0.001000][Loss: obj 4.27 || cls 1.85 || bbox 4.95 || total 11.06 || size 416]
INFO:root:[Epoch 4/160][Iter 140/517][lr 0.001000][Loss: obj 4.55 || cls 1.89 || bbox 4.63 || total 11.08 || size 416]
INFO:root:[Epoch 4/160][Iter 150/517][lr 0.001000][Loss: obj 4.65 || cls 2.01 || bbox 5.74 || total 12.41 || size 416]
INFO:root:[Epoch 4/160][Iter 160/517][lr 0.001000][Loss: obj 5.44 || cls 3.79 || bbox 8.45 || total 17.68 || size 416]
INFO:root:[Epoch 4/160][Iter 170/517][lr 0.001000][Loss: obj 4.52 || cls 2.39 || bbox 5.73 || total 12.65 || size 416]
INFO:root:[Epoch 4/160][Iter 180/517][lr 0.001000][Loss: obj 4.80 || cls 1.50 || bbox 5.11 || total 11.41 || size 416]
INFO:root:[Epoch 4/160][Iter 190/517][lr 0.001000][Loss: obj 3.87 || cls 1.76 || bbox 5.24 || total 10.87 || size 416]
INFO:root:[Epoch 4/160][Iter 200/517][lr 0.001000][Loss: obj 3.86 || cls 1.37 || bbox 5.66 || total 10.90 || size 416]
INFO:root:[Epoch 4/160][Iter 210/517][lr 0.001000][Loss: obj 6.65 || cls 1.77 || bbox 7.80 || total 16.23 || size 416]
INFO:root:[Epoch 4/160][Iter 220/517][lr 0.001000][Loss: obj 4.88 || cls 2.87 || bbox 8.55 || total 16.30 || size 416]
INFO:root:[Epoch 4/160][Iter 230/517][lr 0.001000][Loss: obj 3.86 || cls 1.18 || bbox 5.51 || total 10.55 || size 416]
INFO:root:[Epoch 4/160][Iter 240/517][lr 0.001000][Loss: obj 4.53 || cls 2.25 || bbox 4.48 || total 11.27 || size 416]
INFO:root:[Epoch 4/160][Iter 250/517][lr 0.001000][Loss: obj 5.78 || cls 2.58 || bbox 6.70 || total 15.06 || size 416]
INFO:root:[Epoch 4/160][Iter 260/517][lr 0.001000][Loss: obj 5.28 || cls 1.73 || bbox 6.32 || total 13.33 || size 416]
INFO:root:[Epoch 4/160][Iter 270/517][lr 0.001000][Loss: obj 3.92 || cls 2.00 || bbox 5.19 || total 11.11 || size 416]
INFO:root:[Epoch 4/160][Iter 280/517][lr 0.001000][Loss: obj 4.57 || cls 2.32 || bbox 8.41 || total 15.30 || size 416]
INFO:root:[Epoch 4/160][Iter 290/517][lr 0.001000][Loss: obj 5.25 || cls 1.81 || bbox 6.40 || total 13.47 || size 416]
INFO:root:[Epoch 4/160][Iter 300/517][lr 0.001000][Loss: obj 5.23 || cls 1.95 || bbox 6.00 || total 13.18 || size 416]
INFO:root:[Epoch 4/160][Iter 310/517][lr 0.001000][Loss: obj 4.32 || cls 2.21 || bbox 5.35 || total 11.88 || size 416]
INFO:root:[Epoch 4/160][Iter 320/517][lr 0.001000][Loss: obj 5.19 || cls 1.65 || bbox 5.53 || total 12.38 || size 416]
INFO:root:[Epoch 4/160][Iter 330/517][lr 0.001000][Loss: obj 3.74 || cls 2.06 || bbox 5.38 || total 11.18 || size 416]
INFO:root:[Epoch 4/160][Iter 340/517][lr 0.001000][Loss: obj 4.69 || cls 1.57 || bbox 5.86 || total 12.12 || size 416]
